"","tbl_type","variable2","names","FY18","FY19","FY20","FY21","FY22","FY18_to_FY19","FY19_to_FY20","FY20_to_FY21","FY21_to_FY22","FY18_pct_share","FY19_pct_share","FY20_pct_share","FY21_pct_share","FY22_pct_share"
"1",NA,NA,"Average_Length_of_Stay_in_Days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","race","Average_Length_of_Stay_in_Days","All HH",73,87,101,112,116,0.191780821917808,0.160919540229885,0.108910891089109,0.0357142857142857,1,1,1,1,1
"3","race","Average_Length_of_Stay_in_Days","American Indian, Alaska Native or Indigenous",59,52,76,100,105,-0.11864406779661,0.461538461538462,0.315789473684211,0.05,0.808219178082192,0.597701149425287,0.752475247524752,0.892857142857143,0.905172413793103
"4","race","Average_Length_of_Stay_in_Days","Asian or Asian American",67,104,105,103,62,0.552238805970149,0.00961538461538462,-0.019047619047619,-0.398058252427184,0.917808219178082,1.19540229885057,1.03960396039604,0.919642857142857,0.53448275862069
"5","race","Average_Length_of_Stay_in_Days","Black or African American or African",77,95,108,128,135,0.233766233766234,0.136842105263158,0.185185185185185,0.0546875,1.05479452054795,1.09195402298851,1.06930693069307,1.14285714285714,1.16379310344828
"6","race","Average_Length_of_Stay_in_Days","Multiple Races",55,62,79,94,100,0.127272727272727,0.274193548387097,0.189873417721519,0.0638297872340425,0.753424657534247,0.71264367816092,0.782178217821782,0.839285714285714,0.862068965517241
"7","race","Average_Length_of_Stay_in_Days","Native Hawaiian or Pacific Islander",47,49,47,80,96,0.0425531914893617,-0.0408163265306122,0.702127659574468,0.2,0.643835616438356,0.563218390804598,0.465346534653465,0.714285714285714,0.827586206896552
"8","race","Average_Length_of_Stay_in_Days","White",71,84,97,99,101,0.183098591549296,0.154761904761905,0.0206185567010309,0.0202020202020202,0.972602739726027,0.96551724137931,0.96039603960396,0.883928571428571,0.870689655172414
"9","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,"Overall_Population",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","race","Overall_Population","All HH",6517,6572,5921,6715,6251,0.0084394660119687,-0.0990566037735849,0.13409896976862,-0.0690990320178704,1,1,1,1,1
"12","race","Overall_Population","American Indian, Alaska Native or Indigenous",47,54,56,83,102,0.148936170212766,0.037037037037037,0.482142857142857,0.228915662650602,0.00721190731931871,0.00821667681071211,0.00945786184766087,0.0123603871928518,0.0163173892177252
"13","race","Overall_Population","Asian or Asian American",17,22,26,25,28,0.294117647058824,0.181818181818182,-0.0384615384615385,0.12,0.00260856222188123,0.00334753499695679,0.00439115014355683,0.00372300819061802,0.00447928331466965
"14","race","Overall_Population","Black or African American or African",2902,2936,2645,3055,2763,0.0117160578911096,-0.0991144414168937,0.155009451795841,-0.0955810147299509,0.445296915758785,0.446743761412051,0.446715081911839,0.454951600893522,0.442009278515438
"15","race","Overall_Population","Multiple Races",171,164,117,178,183,-0.0409356725146199,-0.286585365853659,0.521367521367521,0.0280898876404494,0.0262390670553936,0.024954351795496,0.0197601756460057,0.0265078183172003,0.0292753159494481
"16","race","Overall_Population","Native Hawaiian or Pacific Islander",13,21,9,15,22,0.615384615384615,-0.571428571428571,0.666666666666667,0.466666666666667,0.00199478287555624,0.00319537431527693,0.00152001351123121,0.00223380491437081,0.00351943689009758
"17","race","Overall_Population","White",3367,3375,3068,3359,3133,0.00237600237600238,-0.090962962962963,0.0948500651890482,-0.067281929145579,0.516648764769066,0.513542300669507,0.518155716939706,0.500223380491437,0.501199808030715
"18","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,"Permanent_Housing_Exits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","race","Permanent_Housing_Exits","All HH",1414,1598,1417,1146,1726,0.13012729844413,-0.113266583229036,-0.191249117854622,0.506108202443281,1,1,1,1,1
"21","race","Permanent_Housing_Exits","American Indian, Alaska Native or Indigenous",10,13,10,17,35,0.3,-0.230769230769231,0.7,1.05882352941176,0.00707213578500707,0.0081351689612015,0.00705716302046577,0.0148342059336824,0.0202780996523754
"22","race","Permanent_Housing_Exits","Asian or Asian American",5,4,8,6,6,-0.2,1,-0.25,0,0.00353606789250354,0.00250312891113892,0.00564573041637262,0.00523560209424084,0.00347624565469293
"23","race","Permanent_Housing_Exits","Black or African American or African",626,710,577,514,794,0.134185303514377,-0.187323943661972,-0.109185441941075,0.544747081712062,0.442715700141443,0.444305381727159,0.407198306280875,0.448516579406632,0.460023174971031
"24","race","Permanent_Housing_Exits","Multiple Races",35,36,23,30,54,0.0285714285714286,-0.361111111111111,0.304347826086957,0.8,0.0247524752475248,0.0225281602002503,0.0162314749470713,0.0261780104712042,0.0312862108922364
"25","race","Permanent_Housing_Exits","Native Hawaiian or Pacific Islander",3,5,4,3,5,0.666666666666667,-0.2,-0.25,0.666666666666667,0.00212164073550212,0.00312891113892365,0.00282286520818631,0.00261780104712042,0.00289687137891078
"26","race","Permanent_Housing_Exits","White",735,829,793,572,827,0.127891156462585,-0.0434258142340169,-0.278688524590164,0.445804195804196,0.51980198019802,0.518773466833542,0.559633027522936,0.49912739965096,0.479142526071842
"27","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,"Temporary_Housing_Exits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","race","Temporary_Housing_Exits","All HH",1369,1581,1579,1685,2663,0.154857560262966,-0.00126502213788741,0.0671310956301457,0.580415430267062,1,1,1,1,1
"30","race","Temporary_Housing_Exits","American Indian, Alaska Native or Indigenous",5,17,18,20,45,2.4,0.0588235294117647,0.111111111111111,1.25,0.00365230094959825,0.010752688172043,0.0113996200126662,0.0118694362017804,0.0168982350732257
"31","race","Temporary_Housing_Exits","Asian or Asian American",5,6,8,7,17,0.2,0.333333333333333,-0.125,1.42857142857143,0.00365230094959825,0.00379506641366224,0.00506649778340722,0.00415430267062315,0.0063837776943297
"32","race","Temporary_Housing_Exits","Black or African American or African",504,682,639,593,1112,0.353174603174603,-0.063049853372434,-0.0719874804381847,0.875210792580101,0.368151935719503,0.431372549019608,0.404686510449652,0.351928783382789,0.417574164476155
"33","race","Temporary_Housing_Exits","Multiple Races",53,53,30,35,76,0,-0.433962264150943,0.166666666666667,1.17142857142857,0.0387143900657414,0.0335230866540164,0.0189993666877771,0.0207715133531157,0.0285392414570034
"34","race","Temporary_Housing_Exits","Native Hawaiian or Pacific Islander",1,6,2,2,9,5,-0.666666666666667,0,3.5,0.000730460189919649,0.00379506641366224,0.0012666244458518,0.00118694362017804,0.00337964701464514
"35","race","Temporary_Housing_Exits","White",800,815,876,1018,1393,0.01875,0.0748466257668712,0.162100456621005,0.368369351669941,0.584368151935719,0.515496521189121,0.554781507283091,0.604154302670623,0.523094254600075
"36","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,"Unknown_Housing_Exits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","race","Unknown_Housing_Exits","All HH",1510,1113,554,599,515,-0.262913907284768,-0.502246181491464,0.0812274368231047,-0.140233722871452,1,1,1,1,1
"39","race","Unknown_Housing_Exits","American Indian, Alaska Native or Indigenous",16,10,6,3,3,-0.375,-0.4,-0.5,0,0.0105960264900662,0.00898472596585804,0.0108303249097473,0.00500834724540901,0.0058252427184466
"40","race","Unknown_Housing_Exits","Asian or Asian American",3,4,3,4,3,0.333333333333333,-0.25,0.333333333333333,-0.25,0.00198675496688742,0.00359389038634322,0.00541516245487365,0.00667779632721202,0.0058252427184466
"41","race","Unknown_Housing_Exits","Black or African American or African",674,429,216,274,227,-0.363501483679525,-0.496503496503497,0.268518518518519,-0.171532846715328,0.44635761589404,0.38544474393531,0.389891696750903,0.457429048414023,0.440776699029126
"42","race","Unknown_Housing_Exits","Multiple Races",33,28,13,16,19,-0.151515151515152,-0.535714285714286,0.230769230769231,0.1875,0.0218543046357616,0.0251572327044025,0.0234657039711191,0.0267111853088481,0.0368932038834951
"43","race","Unknown_Housing_Exits","Native Hawaiian or Pacific Islander",5,5,0,2,2,0,-1,NA,0,0.0033112582781457,0.00449236298292902,0,0.00333889816360601,0.00388349514563107
"44","race","Unknown_Housing_Exits","White",774,635,316,299,261,-0.179586563307494,-0.502362204724409,-0.0537974683544304,-0.127090301003344,0.512582781456954,0.570530098831986,0.570397111913357,0.499165275459099,0.506796116504854
"45","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,"Returns_From_Permanent_Housing_within_6_Months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","race","Returns_From_Permanent_Housing_within_6_Months","All HH",76,85,57,33,54,0.118421052631579,-0.329411764705882,-0.421052631578947,0.636363636363636,1,1,1,1,1
"48","race","Returns_From_Permanent_Housing_within_6_Months","American Indian, Alaska Native or Indigenous",0,0,1,0,1,NA,NA,-1,NA,0,0,0.0175438596491228,0,0.0185185185185185
"49","race","Returns_From_Permanent_Housing_within_6_Months","Asian or Asian American",0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,0.0185185185185185
"50","race","Returns_From_Permanent_Housing_within_6_Months","Black or African American or African",33,32,16,14,21,-0.0303030303030303,-0.5,-0.125,0.5,0.434210526315789,0.376470588235294,0.280701754385965,0.424242424242424,0.388888888888889
"51","race","Returns_From_Permanent_Housing_within_6_Months","Multiple Races",4,3,0,0,1,-0.25,-1,NA,NA,0.0526315789473684,0.0352941176470588,0,0,0.0185185185185185
"52","race","Returns_From_Permanent_Housing_within_6_Months","Native Hawaiian or Pacific Islander",0,1,0,0,0,NA,-1,NA,NA,0,0.0117647058823529,0,0,0
"53","race","Returns_From_Permanent_Housing_within_6_Months","White",39,49,40,19,30,0.256410256410256,-0.183673469387755,-0.525,0.578947368421053,0.513157894736842,0.576470588235294,0.701754385964912,0.575757575757576,0.555555555555556
"54","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,"Returns_From_All_Exit_Types_within_6_Months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","race","Returns_From_All_Exit_Types_within_6_Months","All HH",368,335,281,210,347,-0.0896739130434783,-0.161194029850746,-0.252669039145907,0.652380952380952,1,1,1,1,1
"57","race","Returns_From_All_Exit_Types_within_6_Months","American Indian, Alaska Native or Indigenous",1,0,4,2,1,-1,NA,-0.5,-0.5,0.00271739130434783,0,0.0142348754448399,0.00952380952380952,0.00288184438040346
"58","race","Returns_From_All_Exit_Types_within_6_Months","Asian or Asian American",0,0,1,1,1,NA,NA,0,0,0,0,0.00355871886120996,0.00476190476190476,0.00288184438040346
"59","race","Returns_From_All_Exit_Types_within_6_Months","Black or African American or African",161,141,108,73,141,-0.124223602484472,-0.234042553191489,-0.324074074074074,0.931506849315068,0.4375,0.42089552238806,0.384341637010676,0.347619047619048,0.406340057636888
"60","race","Returns_From_All_Exit_Types_within_6_Months","Multiple Races",12,13,7,8,10,0.0833333333333333,-0.461538461538462,0.142857142857143,0.25,0.0326086956521739,0.0388059701492537,0.0249110320284698,0.0380952380952381,0.0288184438040346
"61","race","Returns_From_All_Exit_Types_within_6_Months","Native Hawaiian or Pacific Islander",1,2,1,0,0,1,-0.5,-1,NA,0.00271739130434783,0.00597014925373134,0.00355871886120996,0,0
"62","race","Returns_From_All_Exit_Types_within_6_Months","White",193,179,160,126,192,-0.0725388601036269,-0.106145251396648,-0.2125,0.523809523809524,0.52445652173913,0.534328358208955,0.569395017793594,0.6,0.553314121037464
"63","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"Returns_From_Permanent_Housing_within_12_Months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","race","Returns_From_Permanent_Housing_within_12_Months","All HH",100,156,252,92,79,0.56,0.615384615384615,-0.634920634920635,-0.141304347826087,1,1,1,1,1
"66","race","Returns_From_Permanent_Housing_within_12_Months","American Indian, Alaska Native or Indigenous",1,0,1,1,1,-1,NA,0,0,0.01,0,0.00396825396825397,0.0108695652173913,0.0126582278481013
"67","race","Returns_From_Permanent_Housing_within_12_Months","Asian or Asian American",0,0,0,2,0,NA,NA,NA,-1,0,0,0,0.0217391304347826,0
"68","race","Returns_From_Permanent_Housing_within_12_Months","Black or African American or African",36,64,101,29,36,0.777777777777778,0.578125,-0.712871287128713,0.241379310344828,0.36,0.41025641025641,0.400793650793651,0.315217391304348,0.455696202531646
"69","race","Returns_From_Permanent_Housing_within_12_Months","Multiple Races",3,6,8,2,2,1,0.333333333333333,-0.75,0,0.03,0.0384615384615385,0.0317460317460317,0.0217391304347826,0.0253164556962025
"70","race","Returns_From_Permanent_Housing_within_12_Months","Native Hawaiian or Pacific Islander",0,1,1,0,0,NA,0,-1,NA,0,0.00641025641025641,0.00396825396825397,0,0
"71","race","Returns_From_Permanent_Housing_within_12_Months","White",60,85,141,58,40,0.416666666666667,0.658823529411765,-0.588652482269504,-0.310344827586207,0.6,0.544871794871795,0.55952380952381,0.630434782608696,0.506329113924051
"72","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,"Returns_From_All_Exit_Types_within_12_Months",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","race","Returns_From_All_Exit_Types_within_12_Months","All HH",490,616,544,387,442,0.257142857142857,-0.116883116883117,-0.288602941176471,0.142118863049096,1,1,1,1,1
"75","race","Returns_From_All_Exit_Types_within_12_Months","American Indian, Alaska Native or Indigenous",2,2,3,4,6,0,0.5,0.333333333333333,0.5,0.00408163265306122,0.00324675324675325,0.00551470588235294,0.0103359173126615,0.0135746606334842
"76","race","Returns_From_All_Exit_Types_within_12_Months","Asian or Asian American",0,0,1,4,4,NA,NA,3,0,0,0,0.00183823529411765,0.0103359173126615,0.00904977375565611
"77","race","Returns_From_All_Exit_Types_within_12_Months","Black or African American or African",196,268,214,144,167,0.36734693877551,-0.201492537313433,-0.327102803738318,0.159722222222222,0.4,0.435064935064935,0.393382352941176,0.372093023255814,0.377828054298643
"78","race","Returns_From_All_Exit_Types_within_12_Months","Multiple Races",16,28,17,10,16,0.75,-0.392857142857143,-0.411764705882353,0.6,0.0326530612244898,0.0454545454545455,0.03125,0.0258397932816537,0.0361990950226244
"79","race","Returns_From_All_Exit_Types_within_12_Months","Native Hawaiian or Pacific Islander",1,2,2,1,0,1,0,-0.5,-1,0.00204081632653061,0.00324675324675325,0.00367647058823529,0.00258397932816537,0
"80","race","Returns_From_All_Exit_Types_within_12_Months","White",274,316,307,224,248,0.153284671532847,-0.0284810126582278,-0.270358306188925,0.107142857142857,0.559183673469388,0.512987012987013,0.564338235294118,0.578811369509044,0.561085972850679
"81","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
