year,population,subpopulation,ALL.PPL_total,ALL.PPL_in.fwc,IN.POV_total,IN.POV_in.fwc,EXP.HL_total,EXP.HL_in.fwc,GEOID
2019,All_People,TOTAL,163324,41755,25621,4142,NA,NA,37001
2019,All_People,TOTAL,37213,10232,4870,764,NA,NA,37003
2019,All_People,TOTAL,11008,3390,2552,484,NA,NA,37005
2019,All_People,TOTAL,24902,5809,4499,734,NA,NA,37007
2019,All_People,TOTAL,26863,7894,4317,637,NA,NA,37009
2019,All_People,TOTAL,17506,4319,2123,306,NA,NA,37011
2019,All_People,TOTAL,47168,12638,8689,1256,NA,NA,37013
2019,All_People,TOTAL,19380,4733,4181,660,NA,NA,37015
2019,All_People,TOTAL,33407,8691,8008,1047,NA,NA,37017
2019,All_People,TOTAL,131815,38287,15402,1581,NA,NA,37019
2019,All_People,TOTAL,256886,62607,30542,3398,NA,NA,37021
2019,All_People,TOTAL,89968,23580,15784,1880,NA,NA,37023
2019,All_People,TOTAL,206615,53103,20920,2965,NA,NA,37025
2019,All_People,TOTAL,81884,22576,12196,1782,NA,NA,37027
2019,All_People,TOTAL,10551,3154,969,144,NA,NA,37029
2019,All_People,TOTAL,69070,19252,7238,933,NA,NA,37031
2019,All_People,TOTAL,22684,6570,3928,609,NA,NA,37033
2019,All_People,TOTAL,157613,42088,20460,2900,NA,NA,37035
2019,All_People,TOTAL,71338,20176,7169,1062,NA,NA,37037
2019,All_People,TOTAL,27969,8465,4593,619,NA,NA,37039
2019,All_People,TOTAL,14097,3986,2207,329,NA,NA,37041
2019,All_People,TOTAL,10946,3424,1513,188,NA,NA,37043
2019,All_People,TOTAL,97282,24112,19391,2564,NA,NA,37045
2019,All_People,TOTAL,56068,14243,12101,1902,NA,NA,37047
2019,All_People,TOTAL,102491,27788,14773,2456,NA,NA,37049
2019,All_People,TOTAL,332861,78185,58132,8911,NA,NA,37051
2019,All_People,TOTAL,26363,7467,2479,419,NA,NA,37053
2019,All_People,TOTAL,36222,10281,3230,461,NA,NA,37055
2019,All_People,TOTAL,165381,46155,25091,3812,NA,NA,37057
2019,All_People,TOTAL,42257,11586,5835,878,NA,NA,37059
2019,All_People,TOTAL,58967,14504,12375,1634,NA,NA,37061
2019,All_People,TOTAL,311848,72782,45221,6591,NA,NA,37063
2019,All_People,TOTAL,52648,14408,12317,2268,NA,NA,37065
2019,All_People,TOTAL,375195,91385,61366,8575,NA,NA,37067
2019,All_People,TOTAL,66362,18419,8523,1265,NA,NA,37069
2019,All_People,TOTAL,219271,56401,31210,4501,NA,NA,37071
2019,All_People,TOTAL,11548,3205,1548,255,NA,NA,37073
2019,All_People,TOTAL,8509,2178,1428,134,NA,NA,37075
2019,All_People,TOTAL,59328,15182,8031,1284,NA,NA,37077
2019,All_People,TOTAL,21033,4750,4255,623,NA,NA,37079
2019,All_People,TOTAL,527868,129246,80528,12138,NA,NA,37081
2019,All_People,TOTAL,51190,13680,12864,2056,NA,NA,37083
2019,All_People,TOTAL,132283,31816,20331,2824,NA,NA,37085
2019,All_People,TOTAL,61053,17170,8087,1263,NA,NA,37087
2019,All_People,TOTAL,114913,32049,12408,1541,NA,NA,37089
2019,All_People,TOTAL,24012,5419,4786,606,NA,NA,37091
2019,All_People,TOTAL,53957,12300,10605,1499,NA,NA,37093
2019,All_People,TOTAL,5213,1378,1125,289,NA,NA,37095
2019,All_People,TOTAL,175538,47447,18982,2852,NA,NA,37097
2019,All_People,TOTAL,42938,9964,7296,812,NA,NA,37099
2019,All_People,TOTAL,196870,50487,24414,3804,NA,NA,37101
2019,All_People,TOTAL,9594,2644,2333,390,NA,NA,37103
2019,All_People,TOTAL,60481,15223,9565,1291,NA,NA,37105
2019,All_People,TOTAL,56756,14863,12836,2188,NA,NA,37107
2019,All_People,TOTAL,82919,23672,9916,1507,NA,NA,37109
2019,All_People,TOTAL,45227,13065,7402,1058,NA,NA,37111
2019,All_People,TOTAL,34813,10250,5323,739,NA,NA,37113
2019,All_People,TOTAL,21499,5456,3342,347,NA,NA,37115
2019,All_People,TOTAL,22849,6195,4463,616,NA,NA,37117
2019,All_People,TOTAL,1074475,251352,122537,16263,NA,NA,37119
2019,All_People,TOTAL,15004,4031,1886,234,NA,NA,37121
