year,population,subpopulation,ALL.PPL_total,ALL.PPL_in.fwc,IN.POV_total,IN.POV_in.fwc,EXP.HL_total,EXP.HL_in.fwc,GEOID,state,county,pop_type
2021,All_People,TOTAL,169185,42857,23671,3382,NA,NA,37001,North Carolina,Alamance,TOTAL
2021,All_People,TOTAL,36491,9789,4056,521,NA,NA,37003,North Carolina,Alexander,TOTAL
2021,All_People,TOTAL,10910,3176,2321,350,NA,NA,37005,North Carolina,Alleghany,TOTAL
2021,All_People,TOTAL,22388,4901,3822,601,NA,NA,37007,North Carolina,Anson,TOTAL
2021,All_People,TOTAL,26598,7876,3675,486,NA,NA,37009,North Carolina,Ashe,TOTAL
2021,All_People,TOTAL,17747,4364,1947,237,NA,NA,37011,North Carolina,Avery,TOTAL
2021,All_People,TOTAL,44898,12345,8290,1176,NA,NA,37013,North Carolina,Beaufort,TOTAL
2021,All_People,TOTAL,18105,4244,4035,538,NA,NA,37015,North Carolina,Bertie,TOTAL
2021,All_People,TOTAL,30105,7069,7300,1008,NA,NA,37017,North Carolina,Bladen,TOTAL
2021,All_People,TOTAL,133789,40220,13576,1422,NA,NA,37019,North Carolina,Brunswick,TOTAL
2021,All_People,TOTAL,266981,60484,28397,2395,NA,NA,37021,North Carolina,Buncombe,TOTAL
2021,All_People,TOTAL,87829,23083,15490,1737,NA,NA,37023,North Carolina,Burke,TOTAL
2021,All_People,TOTAL,221200,55112,20594,2735,NA,NA,37025,North Carolina,Cabarrus,TOTAL
2021,All_People,TOTAL,80705,21440,10658,1541,NA,NA,37027,North Carolina,Caldwell,TOTAL
2021,All_People,TOTAL,10353,2996,646,108,NA,NA,37029,North Carolina,Camden,TOTAL
2021,All_People,TOTAL,67944,19328,6493,832,NA,NA,37031,North Carolina,Carteret,TOTAL
2021,All_People,TOTAL,22785,5874,3698,518,NA,NA,37033,North Carolina,Caswell,TOTAL
2021,All_People,TOTAL,159852,42654,20118,2899,NA,NA,37035,North Carolina,Catawba,TOTAL
2021,All_People,TOTAL,75070,20986,7810,906,NA,NA,37037,North Carolina,Chatham,TOTAL
2021,All_People,TOTAL,28515,7916,4757,503,NA,NA,37039,North Carolina,Cherokee,TOTAL
2021,All_People,TOTAL,13796,3917,2975,533,NA,NA,37041,North Carolina,Chowan,TOTAL
2021,All_People,TOTAL,10997,3303,1549,112,NA,NA,37043,North Carolina,Clay,TOTAL
2021,All_People,TOTAL,98898,24321,17794,2545,NA,NA,37045,North Carolina,Cleveland,TOTAL
2021,All_People,TOTAL,51474,12575,10245,1617,NA,NA,37047,North Carolina,Columbus,TOTAL
2021,All_People,TOTAL,101405,26599,13598,2010,NA,NA,37049,North Carolina,Craven,TOTAL
2021,All_People,TOTAL,333582,77105,57149,8135,NA,NA,37051,North Carolina,Cumberland,TOTAL
2021,All_People,TOTAL,27575,7930,2274,385,NA,NA,37053,North Carolina,Currituck,TOTAL
2021,All_People,TOTAL,36718,10216,2483,320,NA,NA,37055,North Carolina,Dare,TOTAL
2021,All_People,TOTAL,168002,46633,24111,3599,NA,NA,37057,North Carolina,Davidson,TOTAL
2021,All_People,TOTAL,42543,11146,5317,658,NA,NA,37059,North Carolina,Davie,TOTAL
2021,All_People,TOTAL,49836,13291,8958,1397,NA,NA,37061,North Carolina,Duplin,TOTAL
2021,All_People,TOTAL,320146,75812,40371,5206,NA,NA,37063,North Carolina,Durham,TOTAL
2021,All_People,TOTAL,49609,13137,11164,1934,NA,NA,37065,North Carolina,Edgecombe,TOTAL
2021,All_People,TOTAL,380583,92805,57871,7789,NA,NA,37067,North Carolina,Forsyth,TOTAL
2021,All_People,TOTAL,67598,18937,7480,1163,NA,NA,37069,North Carolina,Franklin,TOTAL
2021,All_People,TOTAL,226097,57991,29172,4102,NA,NA,37071,North Carolina,Gaston,TOTAL
2021,All_People,TOTAL,10584,2660,1457,167,NA,NA,37073,North Carolina,Gates,TOTAL
2021,All_People,TOTAL,8089,2011,1067,109,NA,NA,37075,North Carolina,Graham,TOTAL
2021,All_People,TOTAL,60854,14984,8327,1041,NA,NA,37077,North Carolina,Granville,TOTAL
